x,y,species cloglog values
227.0,227.0,0.022693798
228.0,228.0,0.5718094
229.0,229.0,0.5506006
230.0,230.0,0.07823558
231.0,231.0,0.6287894
232.0,232.0,0.70606184
233.0,233.0,0.49687672
234.0,234.0,0.007312326
235.0,235.0,0.18161282
236.0,236.0,0.09127871
237.0,237.0,0.23987779
238.0,238.0,0.2575188
239.0,239.0,0.15423907
240.0,240.0,0.63654166
241.0,241.0,0.16971433
242.0,242.0,0.082695454
243.0,243.0,0.6415309
244.0,244.0,0.0022533068
245.0,245.0,0.62576574
246.0,246.0,0.5544844
247.0,247.0,0.016802901
248.0,248.0,0.030565519
249.0,249.0,0.693554
250.0,250.0,0.75584114
251.0,251.0,0.38348076
252.0,252.0,0.2824208
253.0,253.0,0.014356905
254.0,254.0,0.0013389745
255.0,255.0,0.02590523
256.0,256.0,0.31866035
257.0,257.0,9.966362E-4
258.0,258.0,0.007326372
259.0,259.0,0.0036434683
260.0,260.0,0.24904956
261.0,261.0,0.030907685
262.0,262.0,0.03900966
263.0,263.0,0.04700532
264.0,264.0,0.6393436
265.0,265.0,0.32815066
266.0,266.0,0.09144451
267.0,267.0,0.48707974
268.0,268.0,0.15688162
269.0,269.0,0.02720622
270.0,270.0,0.4689185
271.0,271.0,0.63015974
272.0,272.0,0.2781246
273.0,273.0,0.30684015
274.0,274.0,0.5777313
275.0,275.0,0.24503015
276.0,276.0,0.023316046
277.0,277.0,0.002014208
278.0,278.0,0.68014103
279.0,279.0,0.5092169
280.0,280.0,0.09046782
281.0,281.0,0.6271176
282.0,282.0,0.69368696
283.0,283.0,0.7462496
284.0,284.0,0.58123267
285.0,285.0,0.0028750359
286.0,286.0,0.039466966
287.0,287.0,0.64723784
288.0,288.0,0.0012035668
289.0,289.0,0.14674857
290.0,290.0,0.7362353
291.0,291.0,0.5866749
292.0,292.0,0.7019874
293.0,293.0,0.6649902
294.0,294.0,0.12810223
295.0,295.0,0.03639013
296.0,296.0,0.37634248
297.0,297.0,0.6048562
298.0,298.0,0.45819297
299.0,299.0,0.502621
300.0,300.0,0.29203045
301.0,301.0,0.67030984
302.0,302.0,0.0011646381
303.0,303.0,0.079844475
304.0,304.0,0.32758147
305.0,305.0,0.6548199
306.0,306.0,0.0094116265
307.0,307.0,0.040842038
308.0,308.0,0.54093677
309.0,309.0,0.16242777
310.0,310.0,0.041868716
311.0,311.0,0.5544551
312.0,312.0,0.5806435
313.0,313.0,9.0570055E-4
314.0,314.0,0.3693905
315.0,315.0,0.09742183
316.0,316.0,0.06004383
317.0,317.0,0.6757806
318.0,318.0,0.2574285
319.0,319.0,0.13436933
320.0,320.0,0.10152452
321.0,321.0,0.6017088
